,champion,mostWinningLane
0,RekSai,JUNGLE
1,Gangplank,JUNGLE
2,Kalista,BOTTOM
3,Rell,BOTTOM
4,Ahri,MIDDLE
5,Bard,BOTTOM
6,Pantheon,BOTTOM
7,Poppy,JUNGLE
8,Katarina,MIDDLE
9,Elise,JUNGLE
10,Lucian,BOTTOM
11,Urgot,JUNGLE
12,MissFortune,BOTTOM
13,Nautilus,BOTTOM
14,Vi,JUNGLE
15,Azir,MIDDLE
16,Camille,TOP
17,Illaoi,TOP
18,Jayce,MIDDLE
19,Pyke,MIDDLE
20,Rammus,JUNGLE
21,Karthus,JUNGLE
22,Xerath,BOTTOM
23,Lux,BOTTOM
24,Vex,MIDDLE
25,Xayah,BOTTOM
26,Ziggs,BOTTOM
27,JarvanIV,JUNGLE
28,Swain,BOTTOM
29,Sona,BOTTOM
30,Yuumi,BOTTOM
31,Blitzcrank,BOTTOM
32,Olaf,JUNGLE
33,Malzahar,MIDDLE
34,Jinx,BOTTOM
35,Thresh,BOTTOM
36,Vayne,BOTTOM
37,Irelia,MIDDLE
38,Veigar,BOTTOM
39,XinZhao,JUNGLE
40,Kindred,JUNGLE
41,Nasus,TOP
42,Sejuani,JUNGLE
43,Vladimir,MIDDLE
44,Diana,MIDDLE
45,Braum,MIDDLE
46,Kennen,TOP
47,Yone,TOP
48,Hecarim,JUNGLE
49,Rumble,TOP
50,Trundle,JUNGLE
51,Velkoz,MIDDLE
52,Varus,BOTTOM
53,Rengar,TOP
54,Udyr,JUNGLE
55,Galio,BOTTOM
56,Kayle,TOP
57,Leona,BOTTOM
58,TwistedFate,MIDDLE
59,Karma,BOTTOM
60,Viego,MIDDLE
61,Zoe,JUNGLE
62,Corki,MIDDLE
63,Malphite,TOP
64,Lillia,JUNGLE
65,Senna,BOTTOM
66,Sion,TOP
67,Taric,BOTTOM
68,Fiora,TOP
69,Sivir,MIDDLE
70,Shaco,JUNGLE
71,Soraka,BOTTOM
72,Cassiopeia,TOP
73,Syndra,MIDDLE
74,Volibear,TOP
75,Rakan,BOTTOM
76,Zed,MIDDLE
77,Akali,MIDDLE
78,Tryndamere,TOP
79,Neeko,MIDDLE
80,Qiyana,JUNGLE
81,MonkeyKing,TOP
82,Amumu,MIDDLE
83,Talon,MIDDLE
84,Garen,MIDDLE
85,Kaisa,BOTTOM
86,Singed,TOP
87,Gnar,TOP
88,KogMaw,BOTTOM
89,Shen,BOTTOM
90,Viktor,MIDDLE
91,AurelionSol,MIDDLE
92,DrMundo,TOP
93,Quinn,TOP
94,Ekko,JUNGLE
95,Seraphine,MIDDLE
96,TahmKench,TOP
97,Anivia,MIDDLE
98,Janna,BOTTOM
99,Kassadin,MIDDLE
100,Evelynn,JUNGLE
101,Fizz,MIDDLE
102,Ezreal,BOTTOM
103,Nocturne,JUNGLE
104,Darius,TOP
105,Jax,TOP
106,LeeSin,JUNGLE
107,Mordekaiser,TOP
108,Akshan,MIDDLE
109,Nidalee,JUNGLE
110,Gwen,TOP
111,Annie,MIDDLE
112,Zilean,MIDDLE
113,Alistar,BOTTOM
114,Twitch,BOTTOM
115,Chogath,TOP
116,Brand,BOTTOM
117,Skarner,JUNGLE
118,Leblanc,MIDDLE
119,Graves,JUNGLE
120,Nami,MIDDLE
121,Ornn,TOP
122,Sett,TOP
123,Yasuo,MIDDLE
124,Kayn,JUNGLE
125,Nunu,JUNGLE
126,Yorick,TOP
127,Lulu,BOTTOM
128,Shyvana,JUNGLE
129,Khazix,JUNGLE
130,FiddleSticks,JUNGLE
131,Ryze,MIDDLE
132,MasterYi,JUNGLE
133,Sylas,TOP
134,Caitlyn,BOTTOM
135,Ivern,JUNGLE
136,Aatrox,TOP
137,Samira,BOTTOM
138,Zac,JUNGLE
139,Taliyah,JUNGLE
140,Ashe,BOTTOM
141,Draven,BOTTOM
142,Maokai,BOTTOM
143,Gragas,MIDDLE
144,Zyra,BOTTOM
145,Warwick,JUNGLE
146,Kled,TOP
147,Renekton,TOP
148,Jhin,BOTTOM
149,Heimerdinger,MIDDLE
150,Riven,TOP
151,Tristana,BOTTOM
152,Orianna,MIDDLE
153,Morgana,BOTTOM
154,Teemo,TOP
155,Aphelios,BOTTOM
156,Lissandra,MIDDLE
